2002,1,R2JQPUYU65C4QD,1
2002,3,R2XM83JYE2KDE2,1
2002,4,R33QQ6N5UIPSY1,1
2002,5,R3UIZ2BE5IJZA9,5
2003,3,R3MSSPW3QKYM4H,1
2003,4,RXOTLS1ASN9OZ,2
2003,5,R14YO6N7ULQ2S3,5
2004,1,R2RXLMYCI5JJC7,1
2004,2,R12APPEFY714W7,1
2004,3,R3I9GK7TMLO117,1
2004,4,RWAP860PYB8D3,1
2004,5,R29LGV71NQEPVX,3
2005,1,R3NZ6I1EKJ9FQL,2
2005,2,RXK9XU6XP9RO7,1
2005,3,R13MAX1XJRR6O3,3
2005,4,RYLNJU0K0KLL4,2
2005,5,R30TYLHXV992G9,12
2006,1,RRQEIVL98NJV9,16
2006,2,R3RYCNCG217RCA,9
2006,3,R13XTWZZR54FGH,8
2006,4,RKGH3VRCYOFJO,16
2006,5,R1L4FFXOTTKWYT,18
2007,1,R3OASWDGG0FBKE,21
2007,2,R3ALR69JJC91FT,8
2007,3,R2DG2T8GJM2UHP,6
2007,4,R2YBGVC9116A4S,33
2007,5,R1JIE4Q4XZ12EG,86
2008,1,R3JTPOC9T3NV0I,33
2008,2,R2AXOS8NKF5IV6,15
2008,3,R3HPAVTFT9PH3V,15
2008,4,R3C44P13WDFPNH,40
2008,5,R1I0UH2IQ8B82O,88
2009,1,R1473XWTXI7OWC,27
2009,2,R2U7906YVE6E08,12
2009,3,R3EQRAJ1OTU7EB,18
2009,4,RTBVX07QPJ4OC,48
2009,5,RMWZ5JKIQBQNU,122
2010,1,R298Y4F2Z178JQ,73
2010,2,R2LFZPFOEWN3XN,41
2010,3,R54O6XKL1PE4S,39
2010,4,RFW1Q0NSX9JAF,102
2010,5,R161HQUS6RWEI7,274
2011,1,R2JDU23H3YXC2A,72
2011,2,R2YWVLBZ6KUMM3,39
2011,3,R1ITVADYHUVPFS,50
2011,4,RUR50TXSNYG07,117
2011,5,R3V85FQQ3MKZY2,272
2012,1,R1FZP3A58PPS54,90
2012,2,R1TFH4AEGJB3ZP,50
2012,3,R15912VPG1T21N,78
2012,4,R1RMVCAG8C87NR,146
2012,5,R1DXC462MX9E8J,470
2013,1,R390XDUHD34HO6,128
2013,2,R1HSS3XDMEPGJH,124
2013,3,R14L1X2FH3D6HX,186
2013,4,RF02QN9YKJQBB,410
2013,5,R31331XQSSAFZ8,1196
2014,1,RAH9EK4TEL6UH,232
2014,2,R1OTUU1W51UAHA,163
2014,3,R9HLN1WINZXX,258
2014,4,R1YWPA0N4XF0YM,526
2014,5,R3OMCN6I94DZ3I,1830
2015,1,RTYQK30NMOCM6,233
2015,2,R1DZKVY1CJF3QP,119
2015,3,RYOOYLVIAHU2A,264
2015,4,RE36JAD5V53PO,486
2015,5,R9T1FE2ZX2X04,1891
